function,table_child
RA_Assessment_Existing_Customer_With_Sensor_Deployed_React_Funnel,CLP_Account_UBT
RA_Assessment_Existing_Customer_With_Sensor_Deployed_React_Funnel,CLP_Account_UBT_Daily
Func_V1_App_Usage_detail,xdr_pendo_feature_events
Func_V1_App_Usage_detail,slog_ui_activity
Func_V1_App_Usage_detail,xdr_pendo_events_flattened
Func_CLP_Account_Risk_Insights_UBT_BF738,trilogyDataAPI
Func_CLP_Account_Risk_Insights_UBT,trilogyDataAPI
CES2_Risk_Insights,CLP_Account_License
CES2_Risk_Insights,xdr_pendo_events_flattened
RA_Assessment_Customer_React_Funnel_Try_Enable_Sensor,CLP_Account_UBT_Daily
Func_CLP_Account_UBT_Simple_Pre_20200901,network_sensor_daily_snapshot
Func_CLP_Account_UBT_Simple_Pre_20200901,CLP_Account_CES_Daily
Func_CLP_Account_UBT_Simple_Pre_20200901,credit_allocation_daily_snapshot
Func_CLP_Account_UBT_Simple_Pre_20200901,MAK_iES_Sensor_Count
Func_CLP_Account_UBT_Simple_Pre_20200901,email_sensor_daily_snapshot
Func_CLP_Account_UBT_Simple_Pre_20200901,CLP_Account_License_Daily
Func_CLP_Account_UBT_Simple_Pre_20200901,endpoint_sensor_daily_snapshot
Func_CLP_Account_UBT_Simple_Pre_20200901,CLP_Account_License
Func_CLP_Account_UBT_Simple_Pre_20200901,C1_Account_Usage_Daily
Func_CLP_Account_UBT_Simple_Pre_20200901,c1ws_endpoint_sensor_daily_snapshot
Func_V1_Engagement_Score_v2,CLP_Account_UBT_Daily
Func_CLP_Account_UBT_App_Usage_bak,CLP_Account_License_Daily
Func_CLP_Account_UBT_App_Usage_bak,xdr_pendo_feature_events
Func_CLP_Account_UBT_App_Usage_bak,CLP_Account_License
Func_CLP_Account_UBT_App_Usage_bak,xdr_pendo_events_flattened
Func_CLP_Account_UBT_App_Usage_bak,slog_category
RA_Assessment_Customer_React_Funnel,CLP_Account_UBT_Daily
ZTSA_ZTNA_Customer_Setting,xdr_xbc_agent_run_result
ZTSA_ZTNA_Customer_Setting,sase_tdl
ZTSA_ZTNA_Customer_Setting,xdr_endpoint_agent
ZTSA_ZTNA_Customer_Setting,xdr_pendo_events_flattened
ZTSA_ZTNA_Customer_Profile,xdr_xbc_agent_run_result
ZTSA_ZTNA_Customer_Profile,sase_tdl
ZTSA_ZTNA_Customer_Profile,xdr_endpoint_agent
ZTSA_ZTNA_Customer_Profile,xdr_pendo_events_flattened
Func_CLP_Account_UBT_Simple_bak,network_sensor_daily_snapshot
Func_CLP_Account_UBT_Simple_bak,CLP_Account_CES_Daily
Func_CLP_Account_UBT_Simple_bak,credit_allocation_daily_snapshot
Func_CLP_Account_UBT_Simple_bak,C1_Account_Usage
Func_CLP_Account_UBT_Simple_bak,MAK_iES_Sensor_Count
Func_CLP_Account_UBT_Simple_bak,email_sensor_daily_snapshot
Func_CLP_Account_UBT_Simple_bak,CLP_Account_License_Daily
Func_CLP_Account_UBT_Simple_bak,endpoint_sensor_daily_snapshot
Func_CLP_Account_UBT_Simple_bak,CLP_Account_License
Func_CLP_Account_UBT_Simple_bak,C1_Account_Usage_Daily
Func_CLP_Account_UBT_Simple_bak,c1ws_endpoint_sensor_daily_snapshot
swg_ubt_analysis,xdr_pendo_raw_events
CES2_Risk_Insights_bak0329,CLP_Account_License
Func_CLP_Account_UBT_Simple,network_sensor_daily_snapshot
Func_CLP_Account_UBT_Simple,CLP_Account_CES_Daily
Func_CLP_Account_UBT_Simple,credit_allocation_daily_snapshot
Func_CLP_Account_UBT_Simple,C1_Account_Usage
Func_CLP_Account_UBT_Simple,MAK_iES_Sensor_Count
Func_CLP_Account_UBT_Simple,email_sensor_daily_snapshot
Func_CLP_Account_UBT_Simple,CLP_Account_License_Daily
Func_CLP_Account_UBT_Simple,endpoint_sensor_daily_snapshot
Func_CLP_Account_UBT_Simple,CLP_Account_License
Func_CLP_Account_UBT_Simple,C1_Account_Usage_Daily
Func_CLP_Account_UBT_Simple,c1ws_endpoint_sensor_daily_snapshot
onelink_get_app_launch_table,tmc_user
onelink_get_app_launch_table,telemetry_collector
Func_RI_UBT_t,trilogyDataAPI
CES2_XDR_Threat_Investigation,xdr_pendo_raw_events
onelink_get_app_launch_table_from_app_information,tmc_user
onelink_get_app_launch_table_from_app_information,telemetry_collector
onelink_get_red_alert_table,telemetry_collector
Tree_View_Executive_Dashboard_bak_0223,xdr_pendo_events_flattened
NEW_ZTSA_customers_30d_temp,sase_tdl
NEW_ZTSA_customers_30d_temp,CLP_Account_License
JapanXTrialUser,JapanXTrialConversion
ZTSA_ZTNA_DebugV2,sase_tdl
ZTSA_ZTNA_DebugV2,xdr_pendo_raw_events
Func_CLP_Account_UBT_App_Usage_Pre_20200901,CLP_Account_License_Daily
Func_CLP_Account_UBT_App_Usage_Pre_20200901,xdr_pendo_feature_events
Func_CLP_Account_UBT_App_Usage_Pre_20200901,CLP_Account_License
Func_CLP_Account_UBT_App_Usage_Pre_20200901,xdr_pendo_events_flattened
NI_flywheel_eligible_Cus,MAK_Account_GUID
NI_flywheel_eligible_Cus,ddi_product_feedback
XDR_get_workbench_investigate,tmsas_matomo_log_action_v2
XDR_get_workbench_investigate,tmsas_matomo_log_visit
XDR_get_workbench_investigate,tmsas_matomo_log_action
XDR_get_workbench_investigate,tmsas_matomo_log_link_visit_action
XDR_get_workbench_investigate,rca_mapping_workbench
Func_C1_Account_Usage,c1_pendo_pages
Func_C1_Account_Usage,C1_Account_Mapping
Func_C1_Account_Usage,C1WS_From_DS_Daily
Func_C1_Account_Usage,c1_pendo_page_events
NI_flywheel_30_eligible_Cus,CLP_Account_License
CLP_WHO_DEPLOY_ZTSA,sase_tdl
RI_general_feature_list,xdr_pendo_events_flattened
CE_get_OAT_investigate,V1_role
NI_flywheel_onboarded_Cus,MAK_Account_GUID
Tree_View_ZTSA_0301,sase_tdl
Tree_View_ZTSA_0301,xdr_pendo_events_flattened
Tree_View_ZTSA_0301,dataLakeMetrics
CLP_WHO_DEPLOY_ZTSA_test,sase_tdl
Customer_Profiles_ETL_bak,MAK_Account_GUID
Customer_Profiles_ETL_bak,osce_product_feedback
Customer_Profiles_ETL_bak,MAK_Account_License
Customer_Profiles_ETL_bak,CLP_Account_License
Tree_View_Service_Gateway,DeviceVulnerability
Tree_View_Service_Gateway,xdr_pendo_raw_events
Tree_View_Executive_Dashboard,xdr_pendo_events_flattened
Customer_Profiles_ETL,CLP_Account_UBT
Customer_Profiles_ETL,MAK_Account_GUID
Customer_Profiles_ETL,osce_product_feedback
Customer_Profiles_ETL,MAK_Account_License
Customer_Profiles_ETL,CLP_Account_License
CES2_Workflow_and_Automation,xdr_pendo_raw_events
SaaS_Potential,ARL_NABU_Opportunity
SaaS_Potential,ARL_Inv_Lines_Extend_NABU
SaaS_Potential,ARL_Inv_Lines_Global
onelink_get_news_page_table,telemetry_collector
Func_ps_test,xdr_pendo_feature_events
Func_ps_test,xdr_pendo_events_flattened
func_ps_test_opt,xdr_pendo_feature_events
func_ps_test_opt,xdr_pendo_events_flattened
onelink_get_web_click_table,telemetry_collector
Func_ps_test_base,xdr_pendo_feature_events
Func_ps_test_base,xdr_pendo_events_flattened
Func_ps_test_backup,xdr_pendo_feature_events
Func_ps_test_backup,CLP_Account_License
Func_ps_test_backup,xdr_pendo_events_flattened
Func_C1_Account_Usage_Raw,C1_Account_Mapping
Func_C1_Account_Usage_Raw,AWS_Channel_Daily
Func_C1_Account_Usage_Raw,MAK_Channel_Daily
Func_C1_Account_Usage_Raw,C1_Usage
Func_C1_Account_Usage_Raw,C1_Entitlement_Daily
Upgrade_Opportunities,ARL_NABU_Opportunity
Upgrade_Opportunities,ARL_Inv_Lines_Extend_NABU
Upgrade_Opportunities,ARL_Inv_Lines_Global
_C1WS_Agent_Setting_for_Early_Warning,ds_product_feedback
_C1WS_Agent_Setting_for_Early_Warning,MAK_Account_GUID
_C1WS_Agent_Setting_for_Early_Warning,ds_host
ddi_Fn_template_003_active_cus_ddi_latest_feedback,MAK_Account_GUID
DDI_Settings_related_to_SOC_Users,MAK_Account_GUID
BIF_email_sensor_daily_snapshot,cas_product_feedback
onelink_get_one_link_sources,telemetry_collector
NEW_ZTSA_deploy_agent_with_traffic,xdr_endpoint_agent
NEW_ZTSA_deploy_agent_with_traffic,dataLakeMetrics
SG2_Appliance_Setting,CLP_Account_License
onelink_get_experience_portal_table,telemetry_collector
_C1WS_Server_Setting_for_Early_Warning,ds_product_feedback
_C1WS_Server_Setting_for_Early_Warning,MAK_Account_GUID
_C1WS_Server_Setting_for_Early_Warning,ds_host
_DS_Server_Setting_for_Early_Warning,ds_product_feedback
_DS_Server_Setting_for_Early_Warning,MAK_Account_GUID
_DS_Server_Setting_for_Early_Warning,ds_host
_DS_Agent_Setting_for_Early_Warning,ds_product_feedback
_DS_Agent_Setting_for_Early_Warning,MAK_Account_GUID
_DS_Agent_Setting_for_Early_Warning,ds_host
ZTSA_CLP_Score_Raw,sase_tdl
ZTSA_CLP_Score_Raw,xdr_pendo_raw_events
ZTSA_CLP_Score_Raw,xdr_pendo_events_flattened
BIF_Service_Gateway_Service_Customer_Enable,CLP_Account_License
Func_Security_Playbook_Use_Temp,trilogy3_wae_playbook
Func_Security_Playbook_Use_Temp,trilogy3_wae_triggered_task
ZTSA_CLP_Score_Raw_v2,sase_tdl
ZTSA_CLP_Score_Raw_v2,xdr_pendo_raw_events
ZTSA_CLP_Score_Raw_v2,CLP_Account_License
